# Rig calib list with one line of data per calib:
#   RIG_ID, NUM_SENSORS, REF_SENSOR_TYPE, REF_SENSOR_ID, SENSORS[] as (SENSOR_TYPE, SENSOR_ID, HAS_POSE, [QW, QX, QY, QZ, TX, TY, TZ])
# Number of rigs: 51
51 1 CAMERA 51
53 1 CAMERA 53
54 1 CAMERA 54
55 1 CAMERA 55
56 1 CAMERA 56
57 1 CAMERA 57
58 1 CAMERA 58
59 1 CAMERA 59
60 1 CAMERA 60
61 1 CAMERA 61
62 1 CAMERA 62
63 1 CAMERA 63
64 1 CAMERA 64
65 1 CAMERA 65
66 1 CAMERA 66
67 1 CAMERA 67
68 1 CAMERA 68
69 1 CAMERA 69
70 1 CAMERA 70
71 1 CAMERA 71
72 1 CAMERA 72
73 1 CAMERA 73
74 1 CAMERA 74
75 1 CAMERA 75
76 1 CAMERA 76
77 1 CAMERA 77
78 1 CAMERA 78
79 1 CAMERA 79
80 1 CAMERA 80
81 1 CAMERA 81
82 1 CAMERA 82
83 1 CAMERA 83
84 1 CAMERA 84
85 1 CAMERA 85
86 1 CAMERA 86
87 1 CAMERA 87
88 1 CAMERA 88
89 1 CAMERA 89
90 1 CAMERA 90
91 1 CAMERA 91
92 1 CAMERA 92
93 1 CAMERA 93
94 1 CAMERA 94
95 1 CAMERA 95
96 1 CAMERA 96
97 1 CAMERA 97
98 1 CAMERA 98
99 1 CAMERA 99
100 1 CAMERA 100
101 1 CAMERA 101
102 1 CAMERA 102
